Main_clade,Acoelomorph_or_not,Phylum,Species,Sequence,Blast,Blast_modified,Structural_or_Transcription,Prot_length,N_exons,Av_exon_length,Av_intron_length,Gene_length
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg26738_t1,Eya,Eya,Transcription_factor,461,2,690.50,1484.00,2865
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg6601_t1,Eya,Eya,Transcription_factor,461,2,690.50,1412.00,2793
Protostomia,Other,Annelida,Paraescaspia_echinospica,Annelida_Polychaeta_Paraescarpia_echinospica_Proteins_PE_Scaf11327_5_2,Eya,Eya,Transcription_factor,159,4,118.25,1375.00,4598
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN06505-RA,Eya,Eya,Transcription_factor,222,5,132.80,1052.75,4875
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN10624-RA,Eya,Eya,Transcription_factor,155,5,92.60,1984.25,8400
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00019477-RA,Eya,Eya,Transcription_factor,379,10,113.00,2485.33,23498
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g3512_t1,Eya,Eya,Transcription_factor,344,11,167.27,11952.20,121362
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_001249,Eya,Eya,Transcription_factor,779,11,211.73,444.90,6778
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001275504_1,Eya,Eya,Transcription_factor,470,13,107.69,10087.33,122448
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_000494_2,Eya,Eya,Transcription_factor,592,16,110.19,10252.47,155550
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001275503_1,Eya,Eya,Transcription_factor,586,16,109.06,10253.67,155550
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044914007_1,Eya,Eya,Transcription_factor,585,17,102.41,15495.19,249664
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001287941_1,Eya,Eya,Transcription_factor,585,17,102.41,15766.69,254008
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_016865863_1,Eya,Eya,Transcription_factor,591,17,103.47,15765.56,254008
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035668084_1,Eya,Eya,Transcription_factor,638,18,102.89,4946.35,85940
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044906184_1,Eya,Eya,Transcription_factor,621,18,102.67,19814.71,338698
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044906185_1,Eya,Eya,Transcription_factor,620,18,102.50,19814.88,338698
